ID_merimeeLabel,item,itemLabel,itemDescription,proprietaireLabel,occupantLabel,naissance_dedansLabel,img,coordonnées,paysLabel,type_maison,type_maisonLabel
PA00110951,http://www.wikidata.org/entity/Q22963633,château du Tertre,château à Sérigny et Saint-Martin-du-Vieux-Bellême (Orne),,,,http://commons.wikimedia.org/wiki/Special:FilePath/S%C3%A9rigy%2C%20Orne%2C%20ch%C3%A2teau%20du%20Tertre%20bu%2007170007.jpg,,France,http://www.wikidata.org/entity/Q751876,château
PA00133001,http://www.wikidata.org/entity/Q22975827,maison-atelier de Foujita,maison-atelier à Villiers-le-Bâcle (Essonne),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Foujita.JPG,,France,http://www.wikidata.org/entity/Q656720,atelier
MI089,http://www.wikidata.org/entity/Q22975827,maison-atelier de Foujita,maison-atelier à Villiers-le-Bâcle (Essonne),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Foujita.JPG,,France,http://www.wikidata.org/entity/Q656720,atelier
PA00133001,http://www.wikidata.org/entity/Q22975827,maison-atelier de Foujita,maison-atelier à Villiers-le-Bâcle (Essonne),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Foujita.JPG,,France,http://www.wikidata.org/entity/Q3947,maison
MI089,http://www.wikidata.org/entity/Q22975827,maison-atelier de Foujita,maison-atelier à Villiers-le-Bâcle (Essonne),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Foujita.JPG,,France,http://www.wikidata.org/entity/Q3947,maison
MI199,http://www.wikidata.org/entity/Q22976239,maison natale d'Aristide Bergès,maison natale à Lorp-Sentaraille et Saint-Lizier (Ariège),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maison%20natale%20d%27A-Berges-1.JPG,,France,http://www.wikidata.org/entity/Q19979289,maison natale
PA09000021,http://www.wikidata.org/entity/Q22976239,maison natale d'Aristide Bergès,maison natale à Lorp-Sentaraille et Saint-Lizier (Ariège),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maison%20natale%20d%27A-Berges-1.JPG,,France,http://www.wikidata.org/entity/Q19979289,maison natale
PA09000020,http://www.wikidata.org/entity/Q22976239,maison natale d'Aristide Bergès,maison natale à Lorp-Sentaraille et Saint-Lizier (Ariège),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maison%20natale%20d%27A-Berges-1.JPG,,France,http://www.wikidata.org/entity/Q19979289,maison natale
MI199,http://www.wikidata.org/entity/Q22976239,maison natale d'Aristide Bergès,maison natale à Lorp-Sentaraille et Saint-Lizier (Ariège),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maison%20natale%20d%27A-Berges-1.JPG,,France,http://www.wikidata.org/entity/Q33506,musée
PA09000021,http://www.wikidata.org/entity/Q22976239,maison natale d'Aristide Bergès,maison natale à Lorp-Sentaraille et Saint-Lizier (Ariège),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maison%20natale%20d%27A-Berges-1.JPG,,France,http://www.wikidata.org/entity/Q33506,musée
PA09000020,http://www.wikidata.org/entity/Q22976239,maison natale d'Aristide Bergès,maison natale à Lorp-Sentaraille et Saint-Lizier (Ariège),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maison%20natale%20d%27A-Berges-1.JPG,,France,http://www.wikidata.org/entity/Q33506,musée
MI068,http://www.wikidata.org/entity/Q22980586,château de Vaux,château à Vaux-sur-Seine (Yvelines),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Chateau%20de%20Vaux%201887.jpg,,France,http://www.wikidata.org/entity/Q751876,château
PA78000003,http://www.wikidata.org/entity/Q22980586,château de Vaux,château à Vaux-sur-Seine (Yvelines),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Chateau%20de%20Vaux%201887.jpg,,France,http://www.wikidata.org/entity/Q751876,château
MI201,http://www.wikidata.org/entity/Q22995618,mas du Bayle-Vert,mas à Grans (Bouches-du-Rhône),,,,http://commons.wikimedia.org/wiki/Special:FilePath/BAYLE%20VERT%20303%2024.png,,France,http://www.wikidata.org/entity/Q280209,mas
PA13000008,http://www.wikidata.org/entity/Q22995618,mas du Bayle-Vert,mas à Grans (Bouches-du-Rhône),,,,http://commons.wikimedia.org/wiki/Special:FilePath/BAYLE%20VERT%20303%2024.png,,France,http://www.wikidata.org/entity/Q280209,mas
MI197,http://www.wikidata.org/entity/Q22998302,maison-atelier de Daubigny,maison-atelier à Auvers-sur-Oise (Val-d'Oise),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Auvers-sur-Oise%20%2895%29%2C%20maison-atelier%20de%20Charles-Fran%C3%A7ois%20Daubigny%2C%20rue%20Daubigny.jpg,,France,http://www.wikidata.org/entity/Q656720,atelier
PA00080244,http://www.wikidata.org/entity/Q22998302,maison-atelier de Daubigny,maison-atelier à Auvers-sur-Oise (Val-d'Oise),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Auvers-sur-Oise%20%2895%29%2C%20maison-atelier%20de%20Charles-Fran%C3%A7ois%20Daubigny%2C%20rue%20Daubigny.jpg,,France,http://www.wikidata.org/entity/Q656720,atelier
MI197,http://www.wikidata.org/entity/Q22998302,maison-atelier de Daubigny,maison-atelier à Auvers-sur-Oise (Val-d'Oise),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Auvers-sur-Oise%20%2895%29%2C%20maison-atelier%20de%20Charles-Fran%C3%A7ois%20Daubigny%2C%20rue%20Daubigny.jpg,,France,http://www.wikidata.org/entity/Q3947,maison
PA00080244,http://www.wikidata.org/entity/Q22998302,maison-atelier de Daubigny,maison-atelier à Auvers-sur-Oise (Val-d'Oise),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Auvers-sur-Oise%20%2895%29%2C%20maison-atelier%20de%20Charles-Fran%C3%A7ois%20Daubigny%2C%20rue%20Daubigny.jpg,,France,http://www.wikidata.org/entity/Q3947,maison
PA00080245,http://www.wikidata.org/entity/Q22998303,maison du Docteur Gachet,maison à Auvers-sur-Oise (Val-d'Oise),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Auvers-sur-Oise%20%2895%29%2C%20maison%20du%20Docteur%20Gachet%2C%20rue%20Gachet.jpg,,France,http://www.wikidata.org/entity/Q3947,maison
